#contig,contig_reassign,bases_hap_dip,bases_low_high,bases_all,perc_low_coverage,perc_hap_coverage,perc_dip_coverage,perc_high_coverage
NW_020538040.1.TD_1430,s,769198,0,769198,0.000,96.721,3.279,0.000
NW_020539726.1.TD_347,s,755118,685,755803,0.091,99.806,0.103,0.000
NW_020539726.1.TD_124,s,740697,5545,746242,0.743,96.276,2.981,0.000
NW_020538040.1.TD_1429,s,731028,4502,735530,0.612,96.048,3.340,0.000
NW_020537758.1.TD_1215,s,717855,141,717996,0.020,99.204,0.777,0.000
NW_020538040.1.TD_584,s,724099,11381,735480,1.547,92.619,5.833,0.000
NW_020537324.1.TD_393,s,710961,2105,713066,0.295,98.978,0.727,0.000
NW_020539726.1.TD_127,s,705801,0,705801,0.000,99.097,0.903,0.000
NW_020539725.1.TD_1217,s,700275,1228,701503,0.175,99.803,0.022,0.000
NW_020539724.1.TD_195,s,673808,5096,678904,0.751,99.159,0.091,0.000
NW_020537646.1.TD_1020,s,687212,3048,690260,0.442,98.067,1.491,0.000
NW_020538040.1.TD_1217,s,678808,10915,689723,0.727,95.171,3.247,0.856
NW_020537646.1.TD_778,s,664882,184,665066,0.028,99.829,0.143,0.000
NW_020538040.1.TD_1377,s,674477,5,674482,0.001,98.171,1.828,0.000
NW_020538040.1.TD_1362,s,658399,0,658399,0.000,98.709,1.291,0.000
NW_020539725.1.TD_12,s,657983,0,657983,0.000,96.962,3.038,0.000
NW_020537646.1.TD_604,s,655546,913,656459,0.139,99.861,0.000,0.000
NW_020539725.1.TD_14,s,651604,1263,652867,0.193,98.106,1.700,0.000
NW_020538040.1.TD_668,s,637116,5181,642297,0.807,97.906,1.287,0.000
NW_020539726.1.TD_61,s,626874,3917,630791,0.621,97.914,1.465,0.000
NW_020538040.1.TD_1418,s,637677,3,637680,0.000,98.569,1.431,0.000
NW_020539727.1.TD_179,s,604855,10414,615269,1.693,98.307,0.000,0.000
NW_020538040.1.TD_2213,s,607357,4002,611359,0.655,99.167,0.178,0.000
NW_020538040.1.TD_1456,s,607731,2590,610321,0.424,98.209,1.367,0.000
NW_020537646.1.TD_654,s,604098,5594,609692,0.918,98.759,0.323,0.000
NW_020539727.1.TD_154,s,590337,9273,599610,1.547,98.453,0.000,0.000
NW_020537758.1.TD_602,s,603337,178,603515,0.029,96.800,3.170,0.000
NW_020536999.1.TD_803,s,579975,12541,592516,2.117,97.088,0.796,0.000
NW_020538040.1.TD_1567,s,593171,4851,598022,0.811,93.642,5.547,0.000
NW_020538040.1.TD_1541,s,592151,0,592151,0.000,100.000,0.000,0.000
NW_020539726.1.TD_69,s,575839,7610,583449,1.304,97.878,0.818,0.000
NW_020538040.1.TD_1733,s,568272,21562,589834,3.656,94.840,1.505,0.000
NW_020538040.1.TD_1613,s,579710,0,579710,0.000,96.270,3.730,0.000
NW_020538040.1.TD_1542,s,577891,345,578236,0.007,98.092,1.848,0.052
NW_020537324.1.TD_1035,s,559906,10244,570150,1.788,98.059,0.144,0.009
NW_020537646.1.TD_166,s,576950,222,577172,0.038,94.771,5.190,0.000
NW_020538040.1.TD_1564,s,567587,476,568063,0.084,97.038,2.878,0.000
NW_020538040.1.TD_863,s,572843,0,572843,0.000,96.368,3.632,0.000
NW_020536999.1.TD_772,s,571643,411,572054,0.072,97.722,2.206,0.000
NW_020539726.1.TD_349,s,560699,5532,566231,0.977,99.023,0.000,0.000
NW_020538040.1.TD_1568,s,559194,4832,564026,0.857,98.456,0.688,0.000
NW_020538040.1.TD_1674,s,552729,525,553254,0.095,98.946,0.959,0.000
NW_020538040.1.TD_746,s,547809,2218,550027,0.403,92.307,7.289,0.000
NW_020536999.1.TD_1053,s,531442,3674,535116,0.687,99.294,0.019,0.000
NW_020537758.1.TD_1147,s,528684,2221,530905,0.418,97.790,1.792,0.000
NW_020539726.1.TD_129,s,521990,4023,526013,0.765,98.306,0.929,0.000
NW_020538040.1.TD_1373,s,523538,158,523696,0.030,92.817,7.153,0.000
NW_020538040.1.TD_1388,s,519183,286,519469,0.055,99.945,0.000,0.000
NW_020539726.1.TD_74,s,514075,1723,515798,0.197,99.629,0.037,0.137
NW_020538040.1.TD_1597,s,512680,2248,514928,0.437,97.915,1.648,0.000
NW_020538040.1.TD_1009,s,512697,2109,514806,0.366,94.722,4.869,0.044
NW_020537324.1.TD_443,s,508840,5571,514411,1.083,98.809,0.108,0.000
NW_020538040.1.TD_1283,s,510067,4150,514217,0.807,98.567,0.626,0.000
NW_020539724.1.TD_59,s,506223,2950,509173,0.579,96.945,2.475,0.000
NW_020536999.1.TD_1079,s,507815,23,507838,0.005,98.309,1.686,0.000
NW_020537758.1.TD_803,s,507930,1145,509075,0.225,98.585,1.190,0.000
NW_020538040.1.TD_1532,s,507298,0,507298,0.000,98.690,1.310,0.000
NW_020537324.1.TD_395,s,505598,115,505713,0.023,98.992,0.986,0.000
NW_020538040.1.TD_1432,s,506135,763,506898,0.151,94.122,5.727,0.000
NW_020538040.1.TD_1222,s,500258,3696,503954,0.733,96.352,2.914,0.000
NW_020537324.1.TD_964,s,500203,3155,503358,0.627,98.927,0.446,0.000
NW_020538040.1.TD_1500,s,496658,320,496978,0.064,98.678,1.257,0.000
NW_020539725.1.TD_444,s,484473,12090,496563,2.435,97.132,0.434,0.000
NW_020539726.1.TD_374,s,484527,1485,486012,0.306,99.694,0.000,0.000
NW_020538040.1.TD_1317,s,467639,12955,480594,2.696,93.190,4.115,0.000
NW_020538040.1.TD_1123,s,466940,12844,479784,2.677,94.190,3.133,0.000
NW_020539725.1.TD_57,s,471588,4751,476339,0.997,99.003,0.000,0.000
NW_020538040.1.TD_1711,s,462576,5510,468086,1.164,96.742,2.081,0.013
NW_020536999.1.TD_607,s,459689,4983,464672,1.072,98.013,0.915,0.000
NW_020537324.1.TD_1219,s,457047,5364,462411,1.160,98.626,0.214,0.000
NW_020538040.1.TD_1171,s,452893,7106,459999,1.545,96.289,2.166,0.000
NW_020537324.1.TD_448,s,456159,889,457048,0.195,99.734,0.072,0.000
NW_020538040.1.TD_1539,s,459922,11,459933,0.002,99.998,0.000,0.000
NW_020539727.1.TD_239,s,452860,1905,454765,0.419,99.493,0.088,0.000
NW_020538040.1.TD_2518,s,445857,1658,447515,0.370,96.745,2.884,0.000
NW_020538040.1.TD_1556,s,446729,1785,448514,0.398,98.597,1.005,0.000
NW_020539724.1.TD_150,s,438748,8461,447209,1.892,98.108,0.000,0.000
NW_020537646.1.TD_549,s,426651,14776,441427,3.347,96.653,0.000,0.000
NW_020538040.1.TD_1485,s,431260,8977,440237,2.039,95.768,2.193,0.000
NW_020537646.1.TD_960,s,421217,10632,431849,2.462,95.637,1.901,0.000
NW_020538040.1.TD_2005,s,426197,343,426540,0.080,94.454,5.465,0.000
NW_020538040.1.TD_1470,s,424224,1596,425820,0.375,99.072,0.554,0.000
NW_020537646.1.TD_593,s,419649,5934,425583,1.394,98.606,0.000,0.000
NW_020536999.1.TD_601,s,422102,36,422138,0.009,99.991,0.000,0.000
NW_020538040.1.TD_410,s,411179,8577,419756,2.043,97.873,0.084,0.000
NW_020537324.1.TD_206,s,417300,1079,418379,0.258,99.641,0.101,0.000
NW_020537758.1.TD_421,s,418412,973,419385,0.232,98.425,1.343,0.000
NW_020539725.1.TD_425,s,411201,8005,419206,1.910,98.090,0.000,0.000
NW_020538040.1.TD_1331,s,414499,1756,416255,0.422,95.536,4.042,0.000
NW_020539725.1.TD_798,s,398744,11627,410371,2.833,97.167,0.000,0.000
NW_020538040.1.TD_933,s,408696,3859,412555,0.935,98.114,0.951,0.000
NW_020538040.1.TD_1460,s,400879,7744,408623,1.895,94.555,3.550,0.000
NW_020537646.1.TD_1044,s,404804,4308,409112,1.053,97.588,1.359,0.000
NW_020537646.1.TD_1059,s,411128,0,411128,0.000,98.417,1.583,0.000
NW_020539726.1.TD_33,s,402029,5609,407638,1.376,98.624,0.000,0.000
NW_020539725.1.TD_53,s,400590,5308,405898,1.308,98.456,0.237,0.000
NW_020538040.1.TD_1457,s,404768,1838,406606,0.452,94.928,4.620,0.000
NW_020538040.1.TD_1499,s,404591,256,404847,0.063,99.256,0.681,0.000
NW_020538040.1.TD_1041,s,391699,5467,397166,1.377,98.451,0.172,0.000
NW_020538040.1.TD_1018,s,392606,7812,400418,1.951,96.363,1.686,0.000
NW_020537758.1.TD_673,s,393803,64,393867,0.016,99.940,0.044,0.000
NW_020538040.1.TD_1168,s,387871,4977,392848,1.267,98.577,0.156,0.000
NW_020537646.1.TD_959,s,385399,4893,390292,1.254,98.067,0.679,0.000
NW_020536999.1.TD_356,s,389272,651,389923,0.167,95.601,4.232,0.000
NW_020537758.1.TD_1234,s,388421,964,389385,0.248,97.130,2.622,0.000
NW_020539725.1.TD_35,s,387419,520,387939,0.134,99.345,0.521,0.000
NW_020539727.1.TD_400,s,385351,1197,386548,0.148,99.558,0.132,0.161
NW_020537324.1.TD_932,s,384139,2986,387125,0.771,99.229,0.000,0.000
NW_020537646.1.TD_665,s,381015,3529,384544,0.918,98.480,0.602,0.000
NW_020538040.1.TD_2065,s,381527,3086,384613,0.802,99.130,0.068,0.000
NW_020538040.1.TD_1592,s,380612,2737,383349,0.714,96.557,2.729,0.000
NW_020536999.1.TD_577,s,381753,1434,383187,0.374,99.051,0.575,0.000
NW_020538040.1.TD_1326,s,376673,3708,380381,0.975,97.843,1.182,0.000
NW_020536999.1.TD_153,s,378078,1112,379190,0.293,99.707,0.000,0.000
NW_020539726.1.TD_114,s,374806,3719,378525,0.982,99.018,0.000,0.000
NW_020539725.1.TD_825,s,375844,2660,378504,0.703,98.153,1.145,0.000
NW_020538040.1.TD_1011,s,378166,227,378393,0.060,95.313,4.627,0.000
NW_020537324.1.TD_929,s,367074,8266,375340,2.202,97.580,0.218,0.000
NW_020538040.1.TD_2586,s,373736,273,374009,0.073,97.925,2.002,0.000
NW_020537646.1.TD_1049,s,363819,5561,369380,1.505,97.042,1.452,0.000
NW_020539726.1.TD_307,s,365885,992,366877,0.270,97.837,1.893,0.000
NW_020537646.1.TD_1023,s,364897,0,364897,0.000,100.000,0.000,0.000
NW_020537324.1.TD_1092,s,362655,1580,364235,0.434,99.566,0.000,0.000
NW_020538040.1.TD_1450,s,355940,6389,362329,1.763,95.610,2.627,0.000
NW_020539725.1.TD_1145,s,353585,6416,360001,1.782,98.218,0.000,0.000
NW_020538040.1.TD_1073,s,359006,789,359795,0.219,99.115,0.666,0.000
NW_020537758.1.TD_1197,s,357948,0,357948,0.000,100.000,0.000,0.000
NW_020537324.1.TD_1264,s,353870,5178,359048,1.442,98.543,0.015,0.000
NW_020538040.1.TD_2052,s,348452,9049,357501,2.531,97.469,0.000,0.000
NW_020537758.1.TD_553,s,350259,5421,355680,1.524,98.476,0.000,0.000
NW_020538040.1.TD_919,s,354377,204,354581,0.058,94.932,5.010,0.000
NW_020539725.1.TD_232,s,349856,0,349856,0.000,97.887,2.113,0.000
NW_020538040.1.TD_736,s,349398,0,349398,0.000,98.839,1.161,0.000
NW_020537758.1.TD_625,s,347380,1622,349002,0.465,96.748,2.787,0.000
NW_020539725.1.TD_1399,s,337698,10984,348682,3.150,96.850,0.000,0.000
NW_020537758.1.TD_430,s,348383,0,348383,0.000,96.963,3.037,0.000
NW_020538040.1.TD_2021,s,344428,3412,347840,0.981,96.604,2.415,0.000
NW_020538040.1.TD_1343,s,346085,0,346085,0.000,99.585,0.415,0.000
NW_020536999.1.TD_1824,s,334497,9459,343956,2.750,97.250,0.000,0.000
NW_020538040.1.TD_1530,s,345965,0,345965,0.000,98.242,1.758,0.000
NW_020539726.1.TD_15,s,332842,9445,342287,2.759,97.189,0.051,0.000
NW_020539726.1.TD_88,s,340685,1449,342134,0.424,99.576,0.000,0.000
NW_020536999.1.TD_960,s,339148,1859,341007,0.545,98.069,1.386,0.000
NW_020539724.1.TD_120,s,331819,7303,339122,2.154,96.785,1.061,0.000
NW_020538040.1.TD_1927,s,340343,217,340560,0.064,96.834,3.102,0.000
NW_020539725.1.TD_475,s,321941,13137,335078,3.921,96.028,0.052,0.000
NW_020539724.1.TD_261,s,335809,3300,339109,0.973,99.027,0.000,0.000
NW_020538040.1.TD_1552,s,337060,1405,338465,0.415,98.653,0.932,0.000
NW_020538040.1.TD_356,s,310059,14567,324626,4.487,95.513,0.000,0.000
NW_020539724.1.TD_276,s,332959,117,333076,0.035,99.409,0.556,0.000
NW_020539724.1.TD_242,s,319081,13924,333005,4.181,95.819,0.000,0.000
NW_020538040.1.TD_1213,s,327443,2429,329872,0.736,96.045,3.219,0.000
NW_020538040.1.TD_1950,s,326296,2958,329254,0.898,98.836,0.266,0.000
NW_020537646.1.TD_966,s,326993,1115,328108,0.340,99.109,0.552,0.000
NW_020538040.1.TD_1545,s,325920,876,326796,0.268,99.732,0.000,0.000
NW_020538040.1.TD_1128,s,324590,2505,327095,0.766,95.710,3.524,0.000
NW_020538040.1.TD_1982,s,323510,4468,327978,1.362,95.731,2.906,0.000
NW_020537646.1.TD_1036,s,324143,1270,325413,0.390,99.369,0.240,0.000
NW_020536999.1.TD_643,s,321079,2737,323816,0.845,98.545,0.610,0.000
NW_020537646.1.TD_1009,s,324743,0,324743,0.000,97.268,2.732,0.000
NW_020538040.1.TD_2003,s,320873,2201,323074,0.681,93.802,5.517,0.000
NW_020537646.1.TD_635,s,318521,2802,321323,0.872,98.815,0.313,0.000
NW_020538040.1.TD_1666,s,320437,1196,321633,0.372,97.508,2.120,0.000
NW_020539725.1.TD_279,s,309948,11060,321008,3.445,96.480,0.074,0.000
NW_020537758.1.TD_429,s,316449,4195,320644,1.308,97.382,1.309,0.000
NW_020538040.1.TD_1701,s,320328,0,320328,0.000,96.444,3.556,0.000
NW_020538040.1.TD_1958,s,314725,5265,319990,1.645,97.799,0.556,0.000
NW_020538040.1.TD_1449,s,317114,2267,319381,0.710,95.141,4.149,0.000
NW_020536999.1.TD_1138,s,313635,4827,318462,1.516,98.484,0.000,0.000
NW_020537324.1.TD_712,s,299272,17462,316734,5.513,94.187,0.300,0.000
NW_020538040.1.TD_561,s,313143,939,314082,0.299,99.599,0.102,0.000
NW_020539724.1.TD_403,s,311043,2815,313858,0.897,99.103,0.000,0.000
NW_020536999.1.TD_1700,s,309236,3694,312930,1.180,96.964,1.855,0.000
NW_020537646.1.TD_181,s,312043,52,312095,0.017,99.983,0.000,0.000
NW_020537324.1.TD_797,s,310994,342,311336,0.110,99.226,0.665,0.000
NW_020539725.1.TD_290,s,306281,3125,309406,1.010,97.996,0.994,0.000
NW_020537646.1.TD_1045,s,303735,4320,308055,1.402,96.444,2.154,0.000
NW_020536999.1.TD_792,s,304394,3385,307779,1.100,98.042,0.858,0.000
NW_020538040.1.TD_1594,s,304445,2789,307234,0.908,98.344,0.749,0.000
NW_020538040.1.TD_1153,s,304525,112,304637,0.037,98.781,1.182,0.000
NW_020537646.1.TD_972,s,300560,2426,302986,0.801,99.199,0.000,0.000
NW_020538040.1.TD_1280,s,296130,3731,299861,1.244,90.214,8.542,0.000
NW_020537324.1.TD_254,s,296670,2415,299085,0.807,97.749,1.443,0.000
NW_020537646.1.TD_562,s,290048,9000,299048,3.010,96.990,0.000,0.000
NW_020539726.1.TD_136,s,295405,3303,298708,1.106,98.211,0.683,0.000
NW_020537758.1.TD_435,s,294286,4410,298696,1.476,95.189,3.335,0.000
NW_020539725.1.TD_168,s,293045,4993,298038,1.675,97.824,0.501,0.000
NW_020537324.1.TD_438,s,295521,881,296402,0.297,99.703,0.000,0.000
NW_020539725.1.TD_496,s,297899,11,297910,0.004,99.988,0.008,0.000
NW_020539727.1.TD_324,s,295670,87,295757,0.029,99.971,0.000,0.000
NW_020537758.1.TD_596,s,288670,6132,294802,2.080,97.082,0.838,0.000
NW_020538040.1.TD_925,s,287236,6891,294127,2.343,93.754,3.903,0.000
NW_020537324.1.TD_300,s,287592,6003,293595,2.045,97.955,0.000,0.000
NW_020537324.1.TD_997,s,287279,5232,292511,1.789,98.211,0.000,0.000
NW_020537646.1.TD_127,s,289743,1220,290963,0.419,95.656,3.924,0.000
NW_020539725.1.TD_1407,s,287524,0,287524,0.000,99.953,0.047,0.000
NW_020538040.1.TD_1534,s,286889,28,286917,0.010,97.439,2.551,0.000
NW_020537646.1.TD_1031,s,283505,2713,286218,0.948,96.685,2.367,0.000
NW_020538040.1.TD_1335,s,276362,10440,286802,3.290,93.811,2.549,0.350
NW_020539727.1.TD_535,s,276135,8031,284166,2.826,97.174,0.000,0.000
NW_020537646.1.TD_696,s,279334,3864,283198,1.364,97.860,0.776,0.000
NW_020537646.1.TD_688,s,282701,396,283097,0.140,99.860,0.000,0.000
NW_020538040.1.TD_2322,s,279967,2280,282247,0.808,96.565,2.627,0.000
NW_020537646.1.TD_564,s,279730,2436,282166,0.863,99.137,0.000,0.000
NW_020536999.1.TD_1469,s,276401,5421,281822,1.924,97.957,0.120,0.000
NW_020537758.1.TD_622,s,277393,2716,280109,0.970,99.030,0.000,0.000
NW_020539725.1.TD_1383,s,276533,3896,280429,1.389,98.611,0.000,0.000
NW_020538040.1.TD_2691,s,280470,855,281325,0.304,98.751,0.946,0.000
NW_020538040.1.TD_2008,s,274046,5556,279602,1.987,97.319,0.694,0.000
NW_020538040.1.TD_444,s,277703,2217,279920,0.792,99.208,0.000,0.000
NW_020538040.1.TD_1372,s,277839,1720,279559,0.615,98.370,1.015,0.000
NW_020538040.1.TD_1369,s,270683,8628,279311,3.089,94.912,1.999,0.000
NW_020537324.1.TD_1185,s,274512,4142,278654,1.486,98.514,0.000,0.000
NW_020537758.1.TD_1092,s,276997,2141,279138,0.767,98.926,0.307,0.000
NW_020539727.1.TD_287,s,266117,11815,277932,4.251,95.485,0.264,0.000
NW_020538040.1.TD_1546,s,277113,1,277114,0.000,99.333,0.667,0.000
NW_020538040.1.TD_1437,s,278351,5,278356,0.002,98.681,1.317,0.000
NW_020536999.1.TD_604,s,270419,5904,276323,2.137,97.768,0.095,0.000
NW_020538040.1.TD_1487,s,271777,3302,275079,1.200,96.133,2.667,0.000
NW_020539725.1.TD_15,s,271511,4027,275538,1.462,98.315,0.224,0.000
NW_020537324.1.TD_1290,s,271080,3301,274381,1.203,97.578,1.219,0.000
NW_020538040.1.TD_953,s,262641,10424,273065,3.817,95.957,0.226,0.000
NW_020538040.1.TD_1412,s,269176,3811,272987,1.396,98.049,0.555,0.000
NW_020539726.1.TD_133,s,268492,4319,272811,1.583,98.417,0.000,0.000
NW_020538040.1.TD_1590,s,272269,0,272269,0.000,95.072,4.928,0.000
NW_020538040.1.TD_341,s,272155,26,272181,0.010,96.134,3.857,0.000
NW_020539724.1.TD_46,s,266049,5577,271626,2.053,97.912,0.035,0.000
NW_020539725.1.TD_805,s,268614,1695,270309,0.627,98.407,0.966,0.000
NW_020538040.1.TD_1715,s,265962,3090,269052,1.148,93.524,5.327,0.000
NW_020537758.1.TD_1231,s,254344,11839,266183,4.448,95.552,0.000,0.000
NW_020538040.1.TD_1535,s,268944,0,268944,0.000,96.575,3.425,0.000
NW_020537324.1.TD_693,s,266806,657,267463,0.246,99.754,0.000,0.000
NW_020538040.1.TD_1201,s,265896,69,265965,0.026,99.637,0.337,0.000
NW_020537758.1.TD_865,s,257601,6291,263892,2.384,93.544,4.072,0.000
NW_020537324.1.TD_793,s,263750,485,264235,0.184,98.394,1.423,0.000
NW_020538040.1.TD_1445,s,261076,1954,263030,0.743,97.477,1.780,0.000
NW_020537324.1.TD_1315,s,257589,5236,262825,1.992,96.500,1.508,0.000
NW_020539724.1.TD_542,s,258752,3371,262123,1.286,93.198,5.516,0.000
NW_020538040.1.TD_1911,s,257688,4360,262048,1.664,98.336,0.000,0.000
NW_020536999.1.TD_1125,s,258395,3115,261510,1.191,96.648,2.161,0.000
NW_020537646.1.TD_710,s,254981,4813,259794,1.853,98.147,0.000,0.000
NW_020539727.1.TD_328,s,259702,3,259705,0.001,99.999,0.000,0.000
NW_020538040.1.TD_1242,s,257313,2028,259341,0.782,99.218,0.000,0.000
NW_020537646.1.TD_875,s,247576,11871,259447,4.576,95.103,0.322,0.000
NW_020539727.1.TD_408,s,257102,1657,258759,0.640,99.360,0.000,0.000
NW_020536999.1.TD_640,s,249817,8759,258576,3.387,96.415,0.198,0.000
NW_020538040.1.TD_928,s,257347,1310,258657,0.506,95.494,4.000,0.000
NW_020539725.1.TD_467,s,253214,5285,258499,2.044,96.186,1.770,0.000
NW_020538040.1.TD_2670,s,255215,3210,258425,1.242,98.591,0.167,0.000
NW_020537646.1.TD_838,s,256898,1243,258141,0.482,99.518,0.000,0.000
NW_020537324.1.TD_214,s,258106,0,258106,0.000,99.460,0.540,0.000
NW_020537646.1.TD_954,s,252436,5588,258024,2.166,97.834,0.000,0.000
NW_020537324.1.TD_1170,s,253226,4617,257843,1.791,97.112,1.097,0.000
NW_020537646.1.TD_1011,s,256391,26,256417,0.010,96.003,3.987,0.000
NW_020537646.1.TD_1038,s,253867,1964,255831,0.768,99.232,0.000,0.000
NW_020538040.1.TD_1402,s,252459,3024,255483,1.184,98.816,0.000,0.000
NW_020538040.1.TD_901,s,243805,4012,247817,1.619,96.580,1.801,0.000
NW_020536999.1.TD_841,s,254012,192,254204,0.076,99.924,0.000,0.000
NW_020538040.1.TD_2496,s,245907,8371,254278,3.292,93.338,3.370,0.000
NW_020537324.1.TD_1260,s,249809,3966,253775,1.563,98.437,0.000,0.000
NW_020536999.1.TD_1649,s,243702,11391,255093,3.408,95.533,0.001,1.058
NW_020538040.1.TD_286,s,251239,2009,253248,0.793,99.207,0.000,0.000
NW_020537758.1.TD_534,s,251819,11,251830,0.004,98.287,1.709,0.000
NW_020538040.1.TD_402,s,244890,6670,251560,2.651,97.349,0.000,0.000
NW_020539725.1.TD_1148,s,251550,3,251553,0.001,99.725,0.274,0.000
NW_020538040.1.TD_1540,s,250255,0,250255,0.000,99.396,0.604,0.000
NW_020539725.1.TD_710,s,251244,0,251244,0.000,99.952,0.048,0.000
NW_020539727.1.TD_88,s,245320,4812,250132,1.924,98.076,0.000,0.000
NW_020537646.1.TD_892,s,242618,6202,248820,2.493,96.996,0.512,0.000
NW_020538040.1.TD_1635,s,248071,1064,249135,0.427,91.770,7.803,0.000
NW_020536999.1.TD_1515,s,245740,3670,249410,1.471,91.844,6.685,0.000
NW_020538040.1.TD_1608,s,248588,3,248591,0.001,98.601,1.398,0.000
NW_020536999.1.TD_724,s,247782,855,248637,0.344,99.523,0.133,0.000
NW_020538040.1.TD_1297,s,244710,1129,245839,0.459,98.161,1.380,0.000
NW_020537758.1.TD_1145,s,247045,880,247925,0.355,96.470,3.175,0.000
NW_020538040.1.TD_2630,s,237298,10106,247404,4.085,95.915,0.000,0.000
NW_020537646.1.TD_782,s,240419,5235,245654,2.131,97.869,0.000,0.000
NW_020538040.1.TD_324,s,243129,2219,245348,0.904,98.966,0.129,0.000
NW_020539724.1.TD_217,s,240349,4132,244481,1.690,98.310,0.000,0.000
NW_020536999.1.TD_1066,s,240270,3976,244246,1.628,98.370,0.002,0.000
NW_020538040.1.TD_301,s,239313,4431,243744,1.818,98.182,0.000,0.000
NW_020538040.1.TD_1349,s,238593,4920,243513,2.020,96.374,1.606,0.000
NW_020538040.1.TD_1587,s,243375,3,243378,0.001,99.999,0.000,0.000
NW_020538040.1.TD_773,s,241457,1410,242867,0.581,99.323,0.096,0.000
NW_020538040.1.TD_1205,s,238859,2,238861,0.001,99.871,0.128,0.000
NW_020537646.1.TD_994,s,236711,5040,241751,2.085,97.591,0.324,0.000
NW_020538040.1.TD_870,s,240990,226,241216,0.094,99.198,0.708,0.000
NW_020538040.1.TD_1741,s,234603,6470,241073,2.684,91.038,6.278,0.000
NW_020536999.1.TD_320,s,238461,2544,241005,1.056,98.944,0.000,0.000
NW_020539725.1.TD_497,s,240169,806,240975,0.334,94.738,4.928,0.000
NW_020539724.1.TD_547,s,239560,737,240297,0.307,99.693,0.000,0.000
NW_020537324.1.TD_1069,s,237402,2638,240040,1.099,98.901,0.000,0.000
NW_020538040.1.TD_1699,s,237451,1998,239449,0.834,99.166,0.000,0.000
NW_020537646.1.TD_638,s,230939,8426,239365,3.520,96.261,0.219,0.000
NW_020537324.1.TD_1698,s,237029,1701,238730,0.713,97.617,1.670,0.000
NW_020537646.1.TD_89,s,234848,3693,238541,1.548,98.452,0.000,0.000
NW_020538040.1.TD_1565,s,234103,4049,238152,1.700,95.510,2.789,0.000
NW_020539880.1.TD_1,s,236804,228,237032,0.096,99.904,0.000,0.000
NW_020538040.1.TD_1237,s,232804,4064,236868,1.716,97.823,0.461,0.000
NW_020538040.1.TD_1026,s,236321,6,236327,0.003,87.469,12.529,0.000
NW_020536999.1.TD_1512,s,236103,1,236104,0.000,99.804,0.195,0.000
NW_020538040.1.TD_1433,s,232948,2780,235728,1.179,95.295,3.526,0.000
NW_020537646.1.TD_1055,s,234861,0,234861,0.000,93.288,6.712,0.000
NW_020537646.1.TD_970,s,234548,0,234548,0.000,97.248,2.752,0.000
NW_020539419.1.TD_8,s,233354,1068,234422,0.456,99.544,0.000,0.000
NW_020539725.1.TD_8,s,229751,4774,234525,2.036,97.855,0.109,0.000
NW_020538040.1.TD_342,s,232482,1892,234374,0.807,94.799,4.393,0.000
NW_020539724.1.TD_173,s,231600,2631,234231,1.123,98.877,0.000,0.000
NW_020536999.1.TD_432,s,234058,244,234302,0.104,99.866,0.030,0.000
NW_020536999.1.TD_818,s,230565,3211,233776,1.374,97.975,0.651,0.000
NW_020539726.1.TD_56,s,230742,2333,233075,1.001,98.999,0.000,0.000
NW_020538040.1.TD_1277,s,229999,2831,232830,1.216,89.215,9.569,0.000
NW_020538040.1.TD_1848,s,218594,12984,231578,5.607,94.393,0.000,0.000
